@relation credit6000_126
@attribute b0 real
@attribute b1 real
@attribute b2 real
@attribute b3 real
@attribute b4 real
@attribute b5 real
@attribute b6 real
@attribute b7 real
@attribute b8 real
@attribute b9 real
@attribute b10 real
@attribute b11 real
@attribute b12 real
@attribute b13 real
@attribute b14 real
@attribute b15 real
@attribute b16 real
@attribute b17 real
@attribute b18 real
@attribute b19 real
@attribute b20 real
@attribute b21 real
@attribute b22 real
@attribute b23 real
@attribute b24 real
@attribute b25 real
@attribute b26 real
@attribute b27 real
@attribute b28 real
@attribute b29 real
@attribute b30 real
@attribute b31 real
@attribute b32 real
@attribute b33 real
@attribute b34 real
@attribute b35 real
@attribute b36 real
@attribute b37 real
@attribute b38 real
@attribute b39 real
@attribute b40 real
@attribute b41 real
@attribute b42 real
@attribute b43 real
@attribute b44 real
@attribute b45 real
@attribute b46 real
@attribute b47 real
@attribute b48 real
@attribute b49 real
@attribute b50 real
@attribute b51 real
@attribute b52 real
@attribute b53 real
@attribute b54 real
@attribute b55 real
@attribute b56 real
@attribute b57 real
@attribute b58 real
@attribute b59 real
@attribute b60 real
@attribute b61 real
@attribute b62 real
@attribute b63 real
@attribute b64 real
@attribute c {2,1}
@data
4.6052,0.0,0.0,5.5678,0.0,0.0,0.0,0.0,0.0,0.0,-13.333,0.0,0.0,0.0,0.0,6.9014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,4.6052,4.6052,0.0,100.0,1000.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,9.0,0.0,0.0,8.0,9.1378,0.0,9.1378,4.6151,0.0,0.0,0.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,0.0,0.0,0.0,0.0,0.0,-7.167,0.0,0.0,0.0,0.0,6.915,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.6052,0.0,3.912,-100.0,1000.0,1.0,1.0,-1.0,0.0,0.0,20.0,3.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,5.0,8.5172,0.0,8.5129,4.6151,0.0,0.0,2.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,0.0,0.0,0.0,0.0,0.0,-6.693,0.0,0.0,0.0,0.0,6.915,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.6052,0.0,0.0,0.0,1000.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,3.5,8.1605,0.0,8.1548,4.6151,0.0,0.0,1.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,0.0,0.0,0.0,0.0,0.0,-6.667,0.0,0.0,0.0,0.0,6.915,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.6052,0.0,0.0,0.0,1000.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0064,0.0,7.9997,4.6151,0.0,0.0,2.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,0.0,0.0,0.0,0.0,0.0,-6.667,0.0,0.0,0.0,0.0,6.915,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.6052,0.0,0.0,0.0,1000.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,3.0,8.0064,0.0,7.9997,4.6151,0.0,0.0,0.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.9121,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.6052,0.0,3.912,-100.0,1000.0,1.0,1.0,0.0,0.0,0.0,20.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,7.6009,0.0,7.5949,4.6151,0.0,0.0,1.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.667,0.0,0.0,0.0,6.8945,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,4.6052,0.0,0.0,0.0,1000.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,8.0064,0.0,7.9997,4.6151,0.0,0.0,0.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.667,0.0,0.0,0.0,6.9014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,4.6052,0.0,0.0,0.0,1000.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.9078,0.0,6.8876,4.6151,0.0,0.0,1.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.667,0.0,0.0,0.0,6.915,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.6052,0.0,0.0,0.0,1000.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.6,7.8633,0.0,7.8555,4.6151,0.0,0.0,0.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.667,0.0,0.0,0.0,6.915,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.6052,0.0,0.0,0.0,1000.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,8.0,9.2103,0.0,9.2083,4.6151,0.0,0.0,0.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.16,3.2888,0.0,3.8961,6.9082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6052,4.6052,4.6052,0.0,0.0,1.2215,1.0,-10.0,0.0,1.0,20.0,3.0,0.0,0.0,4.0,-1.0,1.0,2.3026,0.0,3.0,7.9974,0.0,8.0064,4.6062,0.0,0.0,1.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,0.0,0.0,0.0,0.0,2.3026,0.0,6.667,0.0,0.0,0.0,6.9082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,4.6052,0.0,0.0,0.0,1000.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.6995,0.0,8.6979,4.6151,0.0,0.0,2.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,0.0,0.0,0.0,0.0,2.9957,0.0,6.667,0.0,0.0,0.0,6.915,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,4.6052,0.0,0.0,0.0,1000.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,8.1605,0.0,8.1548,4.6151,0.0,0.0,1.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,0.0,0.0,0.0,3.0277,0.0,0.0,13.55,0.0,0.0,0.0,6.9082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0128,2.0032,0.0,1.0128,0.0,1.026,4.6052,0.0,0.0,0.0,1000.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.1591,0.0,9.1569,4.6151,0.0,0.0,2.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,0.0,0.0,2.4438,0.0,2.7415,-3.953,0.0,0.0,2.4849,0.0,6.8994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155,-0.7043,0.0,0.0,0.0,4.6052,4.6052,4.1142,57.251,1000.0,0.0,1.0,0.0,0.33798,0.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.6009,0.0,7.5951,4.6151,0.0,0.0,1.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,0.0,3.4012,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.9053,1.0,1.0,0.0,6.5323,0.0,1.0,0.0,5.675,0.28571,3.4188,1.045,0.0,2.4134,3.5719,-4.0546,0.0,50.0,0.0,0.0,0.0,2.9224,-30.685,964.63,0.0,1.0,-3.275,0.0,0.0,20.0,3.0,0.03333,0.815,0.0,0.0,0.0,0.0,0.0,1.5,7.2914,0.0,7.2715,4.5935,0.0,0.0,2.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,3.1102,0.0,0.0,0.0,0.0,-44.85,0.0,0.0,0.0,0.0,6.9082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6052,-100.0,1000.0,1.4142,1.0,-2.0,0.0,0.0,20.0,3.0,0.0,0.0,4.0,0.0,0.0,2.3026,0.0,7.0,8.8508,0.0,8.8537,4.6123,0.0,0.0,2.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,4.5433,0.0,0.0,0.0,0.0,-188.0,0.0,2.6297,0.0,0.89984,6.9082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6052,4.6052,4.6052,0.0,0.0,1.0122,1.0,-1.0,0.0,1.0,20.0,3.0,0.0,0.0,4.0,2.0,4.0,2.3026,0.0,8.0,9.0462,0.0,9.0478,4.6135,0.0,0.0,2.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,5.3785,0.0,0.0,0.0,2.4168,-200.0,0.0,0.0,0.0,0.0,6.9121,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0086,0.0,1.0,0.0,0.0,4.6052,4.6052,4.6052,0.0,1000.0,1.0035,1.0,-0.0071,0.0,0.0,20.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,8.6995,0.0,8.6976,4.6151,0.0,0.0,1.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,5.5288,0.0,0.0,0.0,0.0,-200.0,0.0,0.0,4.7091,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.5342,-1.4747,0.0,50.0,0.0,0.0,4.0185,1.7226,54.34,1000.0,0.0,0.0,0.0,15.0,0.0,20.0,3.0,0.02597,1.7901,0.0,2.0,4.0,0.0,0.0,6.2,8.7145,0.0,8.7177,4.5975,0.0,2.3026,1.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,5.5735,0.0,0.0,3.4164,0.0,-200.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3272,0.00633,4.0174,0.0,0.0,1.4048,1.8986,-0.5035,0.0,50.0,0.0,4.6052,0.0,0.589,-0.5949,1000.0,0.0,1.0,-0.0116,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5,7.3132,0.0,7.2927,4.6151,2.3026,0.0,1.0,1.0,0.0,0.0,10.05,1
4.6052,0.0,0.0,5.5678,0.0,5.9234,0.0,2.9956,0.0,2.9957,-200.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5065,2.462,2.4602,1.9083,0.0,0.5671,47.603,0.0,0.0,0.0,1.6982,-5.648,13.16,0.0,1.0,-0.1151,0.0,0.0,6.1244,3.0,0.0132,1.3166,0.0,0.0,0.0,0.0,0.0,5.0,8.511,0.0,8.5071,4.609,0.0,0.0,2.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,0.0,6.0894,0.0,0.0,3.4012,0.0,-200.0,0.0,5.5937,3.4497,4.1715,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0497,1.6645,-1.6333,0.0,43.47,0.0,4.5946,4.6052,2.6873,90.715,971.41,0.0,0.0,0.0,9.8367,1.0,20.0,3.0,0.0548,0.0,4.0,0.0,0.0,3.6889,0.0,2.5,7.709,0.0,7.8235,4.5013,2.3026,0.0,1.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,3.1253,3.8223,0.0,2.5317,3.4439,0.0,-45.887,0.0,3.8499,2.6034,4.0293,6.8965,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1277,-0.16998,0.0,0.0,0.0,3.9928,4.2608,4.3409,-9.259,209.72,1.0052,1.0,0.0,0.4587,1.0,19.632,3.0,0.0,0.0,0.0,0.0,0.0,3.6889,0.0,5.0,8.4997,0.0,8.5147,4.5978,0.0,0.0,1.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,3.2072,5.3354,0.0,0.0,0.0,0.0,-200.0,0.0,0.0,0.0,0.0,6.5049,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,0.92,0.0,0.0851,50.0,0.0,4.6052,0.0,2.7064,-15.819,1000.0,0.0,1.0,-0.1778,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.4,8.3894,0.0,8.3724,4.6151,0.0,0.0,1.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,3.3741,3.8172,4.4727,0.0,0.0,0.0,-32.563,0.0,0.0,4.4727,0.0,6.9082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6052,4.6052,4.6052,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.2103,0.0,9.2015,4.6151,0.0,0.0,1.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,3.4327,3.4103,3.4623,0.0,0.0,2.7769,0.0,1.373,0.0,3.4772,0.0,6.877,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142,-1.0523,0.0,0.0,0.8957,0.0,4.38,3.9455,37.398,1000.0,0.0,0.0,-0.36656,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,2.3026,0.0,4.0,8.2906,0.0,8.286,4.6117,0.0,0.0,2.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,3.6756,3.8527,0.0,2.5518,4.6596,0.0,-15.29,0.0,0.0,2.6305,0.0,6.9131,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3944,0.2745,0.0,0.2065,0.0,0.0,0.0,3.7311,4.2697,-51.48,1000.0,0.0,1.0,-0.55926,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,2.3026,0.0,1.0,6.8948,0.0,6.8948,4.6023,0.0,0.0,2.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,3.7542,3.3621,0.0,0.0,4.4785,0.0,0.0,27.7,0.0,0.0,0.0,6.9004,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138,0.7107,1.1839,-1.8204,0.0,0.0,2.2025,4.6052,0.0,3.7597,-56.554,1000.0,0.0,1.0,-3.6069,0.0,0.0,20.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.5,8.7796,0.0,8.7793,4.6151,0.0,0.0,0.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,3.7765,4.653,3.3336,0.0,4.4101,0.0,-122.48,0.0,1.9769,3.4072,0.82227,6.8594,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2259,-0.2853,0.0,50.0,0.0,3.9239,4.5701,4.3612,22.744,244.08,0.0,1.0,0.0,0.1781,1.0,19.939,3.0,0.0,0.0,0.0,0.0,0.0,2.9957,0.0,7.5,8.9208,0.0,8.9189,4.6132,0.0,0.0,1.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,3.7826,3.0894,3.4901,0.0,0.0,2.4916,0.0,43.93,0.0,3.7716,0.0,6.9082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6052,4.6052,4.4646,51.772,268.03,0.0,0.0,-10.0,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.9872,0.0,8.9831,4.6151,0.0,0.0,2.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,4.2189,3.5257,0.0,0.0,0.0,0.0,0.0,67.957,4.0351,4.1561,3.4292,6.8672,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.313,1.2121,-20.0,0.0,50.0,0.0,3.6982,4.0782,3.9392,11.695,1000.0,1.2204,0.0,-10.0,0.0,1.0,20.0,3.0,0.11333,0.0,2.6637,0.0,0.0,3.4012,0.0,1.5,7.2152,0.0,7.2697,4.5181,0.0,2.3026,1.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,4.2366,4.9243,0.0,0.0,5.3352,0.0,-136.84,0.0,0.0,0.0,0.0,6.8506,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6723,0.5434,0.0,0.1721,50.0,0.0,4.6052,2.6801,4.1253,-55.598,1000.0,0.0,1.0,-1.0798,0.0,0.0,20.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,8.0,9.2591,0.0,9.2591,4.6151,0.0,0.0,2.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,4.4598,4.7115,4.4234,0.0,4.7842,0.0,-49.493,0.0,0.0,4.4636,0.0,6.8428,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863,-0.4685,0.0,50.0,0.0,0.0,4.3079,4.2042,11.052,1000.0,0.0,1.0,-0.04856,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0943,0.0,8.0,9.0387,0.0,9.038,4.6061,0.0,0.0,2.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,4.6239,4.6517,4.4006,0.0,3.9328,0.0,-5.733,0.0,0.0,4.4192,0.0,6.9004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0382,-0.0743,0.0,0.0,0.3211,0.0,4.3416,4.4983,-18.842,1000.0,0.0,0.0,-0.7461,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.912,0.0,8.0,9.0422,0.0,9.0382,4.6096,0.0,0.0,2.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,5.5678,5.2784,4.5852,0.0,0.0,0.0,0.0,0.0,196.05,3.5343,5.1749,2.9646,6.8857,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1159,0.0,0.0,50.0,0.0,4.6052,4.6052,4.6052,28.929,140.34,0.0,0.0,-10.0,0.0,1.0,20.0,3.0,0.0,0.0,4.0,1.0,1.0,4.382,0.0,1.2,7.0643,0.0,7.0901,4.5896,0.0,0.0,2.0,1.0,0.0,0.0,10.05,2
